id,date,team_1,team_2,home_team,tournament,h2h_win_diff,h2h_draw,form_diff_goalF,form_diff_goalA,form_diff_win,form_diff_draw,odd_win_diff,odd_draw,result,goal_diff,goal_diff_label
36015,11/18/2014,Jamaica,Trinidad and Tobago,Trinidad and Tobago,CFU Caribbean Cup,1,9,0,5,-6,2,-1.2079999999999997,3.148,draw,0,draw_0
35994,11/18/2014,Chile,Uruguay,Chile,Friendly,-27,17,7,-5,-1,0,-2.4816999999999996,3.5975,lose,-1,lose_1
36006,11/18/2014,Canada,Panama,Panama,Friendly,2,5,-16,-6,-3,0,2.5248000000000004,3.3437,draw,0,draw_0
36007,11/18/2014,Paraguay,Peru,Peru,Friendly,13,13,2,5,0,2,1.3342999999999998,3.1971,lose,-1,lose_1
36034,11/20/2014,Kuwait,Oman,Kuwait,Gulf Cup,6,9,0,2,0,2,-0.4349999999999996,2.8332,lose,-5,lose_3
36035,11/20/2014,Iraq,United Arab Emirates,United Arab Emirates,Gulf Cup,4,9,-1,-4,1,-2,0.7456999999999998,2.8796,lose,-2,lose_2
36036,11/22/2014,Laos,Philippines,Philippines,AFF Championship,3,2,-4,6,-3,1,5.0205,4.5013,lose,-3,lose_3
36039,11/23/2014,Oman,Qatar,Oman,Gulf Cup,-10,8,-3,5,0,-3,-0.3837999999999999,2.7538,lose,-2,lose_2
36040,11/23/2014,Saudi Arabia,United Arab Emirates,Saudi Arabia,Gulf Cup,11,6,9,-4,1,-3,-1.0754000000000001,2.9054,win,1,win_1
36041,11/23/2014,Singapore,Thailand,Singapore,AFF Championship,-16,12,-2,-10,0,1,1.7656,3.3109,lose,-1,lose_1
36043,11/25/2014,Indonesia,Philippines,Philippines,AFF Championship,13,1,-12,-5,-2,2,-1.2965,3.1806,lose,-4,lose_3
36046,11/26/2014,Qatar,Saudi Arabia,Saudi Arabia,Gulf Cup,-8,14,-4,1,0,2,0.9693,2.92,win,1,win_1
36045,11/26/2014,Malaysia,Thailand,Malaysia,AFF Championship,6,17,0,-10,-2,1,3.9684,3.8412,lose,-1,lose_1
36047,11/28/2014,Indonesia,Laos,Indonesia,AFF Championship,5,1,-7,-4,2,2,-11.0978,5.992999999999999,win,4,win_3
36049,11/29/2014,Malaysia,Singapore,Singapore,AFF Championship,2,20,-4,-6,-1,1,1.4756,3.4081,win,2,win_2
36051,11/30/2014,Ivory Coast,South Africa,South Africa,Friendly,-1,4,12,5,2,-4,1.3216,3.2652,lose,-2,lose_2
36052,12/6/2014,Philippines,Thailand,Philippines,AFF Championship,-9,0,14,-9,3,-1,2.0061999999999998,3.1885,draw,0,draw_0
36053,12/7/2014,Malaysia,Vietnam,Malaysia,AFF Championship,-4,2,-10,-6,-3,2,-0.6017999999999999,3.1704,lose,-1,lose_1
36054,12/10/2014,Philippines,Thailand,Thailand,AFF Championship,-9,1,14,-9,1,-1,5.1524,3.9196,lose,-3,lose_3
36056,12/13/2014,Palestine,Uzbekistan,Uzbekistan,Friendly,-2,0,10,2,3,-2,5.5995,4.2343,lose,-1,lose_1
36057,12/17/2014,Malaysia,Thailand,Thailand,AFF Championship,5,17,-1,1,-2,0,5.5123,4.0842,lose,-2,lose_2
36058,12/20/2014,Malaysia,Thailand,Malaysia,AFF Championship,4,17,0,4,-3,0,1.2957999999999998,3.3388,win,1,win_1
36059,12/21/2014,China,Palestine,China,Friendly,4,0,-3,-6,-3,3,-8.9744,5.1526,draw,0,draw_0
