,id,date,team_1,team_2,home_team,tournament,h_win_diff,h_draw,f_goalF_1,f_goalF_2,f_goalA_1,f_goalA_2,f_win_1,f_win_2,f_draw_1,f_draw_2,avg_odds_t1_win,avg_odds_draw,avg_odds_t2_win,result
37057,37057.0,2016-02-05,Bahrain,Lebanon,Bahrain,Friendly,3.0,6.0,8.0,11.0,20.0,13.0,4.0,3.0,2.0,4.0,,,,win
37058,37058.0,2016-02-06,Guadeloupe,Martinique,Guadeloupe,Friendly,-17.0,10.0,31.0,4.0,14.0,13.0,5.0,4.0,1.0,2.0,,,,draw
37059,37059.0,2016-02-07,Congo DR,Mali,Congo DR,African Nations Championship,-2.0,2.0,21.0,13.0,12.0,12.0,6.0,6.0,1.0,3.0,,,,win
37060,37060.0,2016-02-07,Guinea,Ivory Coast,Guinea,African Nations Championship,-10.0,4.0,15.0,11.0,10.0,8.0,5.0,7.0,4.0,1.0,,,,lose
37061,37061.0,2016-02-14,Lebanon,Uzbekistan,Uzbekistan,Friendly,-3.0,1.0,9.0,20.0,12.0,16.0,4.0,5.0,3.0,1.0,,,,lose
37062,37062.0,2016-02-21,Guyana,Suriname,Guyana,Friendly,-26.0,9.0,21.0,16.0,15.0,9.0,2.0,6.0,2.0,1.0,,,,win
37063,37063.0,2016-02-25,French Guyana,Suriname,French Guyana,Friendly,-21.0,9.0,17.0,12.0,14.0,12.0,4.0,6.0,4.0,1.0,,,,lose
37064,37064.0,2016-02-27,Burkina Faso,Egypt,Egypt,Friendly,-2.0,2.0,12.0,18.0,9.0,9.0,1.0,6.0,3.0,0.0,,,,lose
37065,37065.0,2016-03-13,Anguilla,Sint Maarten,Sint Maarten,Friendly,-3.0,0.0,32.0,22.0,6.0,5.0,1.0,5.0,1.0,1.0,,,,lose
37066,37066.0,2016-03-18,Iraq,Syria,Iraq,Friendly,9.0,5.0,26.0,13.0,13.0,26.0,4.0,7.0,2.0,1.0,,,,lose
37067,37067.0,2016-03-18,Bangladesh,United Arab Emirates,United Arab Emirates,Friendly,-4.0,0.0,22.0,32.0,16.0,8.0,3.0,7.0,0.0,1.0,,,,lose
37068,37068.0,2016-03-22,Bermuda,Cuba,Cuba,CFU Caribbean Cup qualification,-2.0,0.0,15.0,24.0,17.0,5.0,5.0,2.0,1.0,2.0,,,,lose
37069,37069.0,2016-03-23,Antigua and Barbuda,Aruba,Antigua and Barbuda,CFU Caribbean Cup qualification,2.0,0.0,15.0,18.0,9.0,7.0,4.0,3.0,1.0,2.0,,,,win
37070,37070.0,2016-03-23,Barbados,Curaçao,Barbados,CFU Caribbean Cup qualification,0.0,1.0,8.0,16.0,21.0,10.0,5.0,3.0,0.0,4.0,,,,win
37071,37071.0,2016-03-23,Chad,Tanzania,Chad,African Cup of Nations qualification,0.0,0.0,14.0,15.0,9.0,14.0,4.0,3.0,1.0,3.0,,,,lose
37072,37072.0,2016-03-23,Croatia,Israel,Croatia,Friendly,7.0,1.0,24.0,15.0,5.0,17.0,5.0,5.0,3.0,1.0,,,,win
37073,37073.0,2016-03-23,Gibraltar,Liechtenstein,Gibraltar,Friendly,0.0,0.0,33.0,9.0,23.0,16.0,0.0,2.0,0.0,2.0,,,,draw
37074,37074.0,2016-03-23,Guadeloupe,Suriname,Guadeloupe,CFU Caribbean Cup qualification,0.0,4.0,32.0,11.0,12.0,12.0,5.0,6.0,1.0,1.0,,,,draw
37075,37075.0,2016-03-23,Guinea-Bissau,Kenya,Guinea-Bissau,African Cup of Nations qualification,0.0,0.0,11.0,16.0,8.0,8.0,1.0,4.0,4.0,3.0,,,,win
37076,37076.0,2016-03-23,British Virgin Islands,Martinique,Martinique,CFU Caribbean Cup qualification,-2.0,1.0,34.0,5.0,19.0,13.0,1.0,5.0,0.0,2.0,,,,lose
37077,37077.0,2016-03-23,Poland,Serbia,Poland,Friendly,3.0,3.0,26.0,14.0,14.0,15.0,5.0,4.0,4.0,0.0,,,,win
37078,37078.0,2016-03-23,Lithuania,Romania,Romania,Friendly,-7.0,0.0,19.0,7.0,6.0,7.0,1.0,5.0,2.0,5.0,,,,lose
37079,37079.0,2016-03-23,Libya,São Tomé and Príncipe,São Tomé and Príncipe,African Cup of Nations qualification,2.0,0.0,15.0,18.0,11.0,10.0,3.0,3.0,0.0,2.0,,,,lose
37080,37080.0,2016-03-23,Macedonia,Slovenia,Slovenia,Friendly,3.0,0.0,9.0,19.0,9.0,10.0,1.0,3.0,2.0,1.0,,,,lose
37081,37081.0,2016-03-23,Benin,South Sudan,South Sudan,African Cup of Nations qualification,0.0,0.0,21.0,16.0,7.0,2.0,5.0,3.0,1.0,2.0,,,,win
37082,37082.0,2016-03-23,Congo,Zambia,Zambia,African Cup of Nations qualification,-5.0,2.0,14.0,12.0,20.0,4.0,5.0,5.0,2.0,3.0,,,,draw
37083,37083.0,2016-03-24,Australia,Tajikistan,Australia,FIFA World Cup qualification,1.0,0.0,16.0,21.0,11.0,17.0,7.0,2.0,2.0,2.0,,,,win
37084,37084.0,2016-03-24,Bahrain,Yemen,Bahrain,FIFA World Cup qualification,6.0,2.0,9.0,6.0,18.0,11.0,3.0,2.0,2.0,2.0,,,,win
37085,37085.0,2016-03-24,Bolivia,Colombia,Bolivia,FIFA World Cup qualification,-6.0,9.0,18.0,5.0,11.0,14.0,2.0,7.0,2.0,2.0,,,,lose
37086,37086.0,2016-03-24,Argentina,Chile,Chile,FIFA World Cup qualification,48.0,22.0,15.0,18.0,13.0,10.0,5.0,5.0,4.0,2.0,,,,win
