team_1,team_2,home_team,tournament,h_win_diff,h_draw,f_goalF_1,f_goalF_2,f_goalA_1,f_goalA_2,f_win_1,f_win_2,f_draw_1,f_draw_2,avg_odds_win_1,avg_odds_draw,avg_odds_win_2
101,174,101,1,-4,2,23,22,10,13,2,4,0,3,5.2921,3.6321,1.5514
43,54,54,20,-1,5,23,8,8,9,4,1,0,3,3.838,3.23,1.8719999999999999
32,44,32,20,0,0,15,14,10,11,4,5,3,3,5.4604,3.9,1.6377
12,182,12,36,-4,1,14,16,11,10,3,7,4,1,9.3,4.6489,1.3357
48,64,64,22,2,0,7,9,17,9,5,4,2,4,2.3725,3.15,2.95
25,91,25,21,-1,1,7,20,6,11,3,5,3,1,8.0047,4.38,1.3167
37,43,37,22,-3,1,24,15,13,7,7,6,3,1,1.4817,4.0035,6.4961
1,149,149,36,-8,1,18,16,7,10,4,4,3,2,8.1043,4.445,1.3804
2,195,195,21,2,2,14,12,5,3,5,4,3,3,3.4754,3.1796,2.0125
25,130,25,22,0,0,8,23,7,13,1,5,3,1,2.2633,3.2167,2.8167
173,181,181,22,1,1,13,19,15,14,6,5,2,3,2.0578,3.28,3.5074
43,184,184,23,0,6,13,14,3,16,7,6,2,2,4.8086,3.5204,1.6929
38,70,38,22,0,1,14,17,9,6,6,5,0,3,2.9119,3.1363,2.3944
57,173,173,36,11,5,11,13,8,16,3,7,3,1,2.8262,3.0521,2.6593
107,173,107,22,-8,1,16,17,8,8,2,4,1,4,14.4404,6.2596,1.1814
89,120,89,21,2,2,12,9,14,12,3,2,5,5,1.1774,6.4274,13.1121
68,167,68,21,0,0,12,19,11,5,3,8,1,2,18.1267,8.2588,1.1154
2,133,133,5,0,3,13,13,7,8,7,5,1,4,3.4324,3.208,2.0976
85,112,85,22,9,13,16,10,6,7,4,2,2,3,2.1022,3.1567,3.5356
2,151,2,21,2,2,14,22,6,10,4,6,3,2,1.1825,5.7975,12.3271
139,189,189,22,-2,0,19,9,11,9,7,4,1,3,7.0138,4.2343,1.4143
55,164,55,22,0,0,22,22,8,16,5,1,2,5,1.5,3.6,6.0
47,154,47,22,-4,0,8,17,14,10,1,6,3,1,3.3007,3.2721,2.1396
32,91,32,5,2,4,11,15,10,15,4,3,5,3,3.2734,3.0045,2.2952
26,80,80,22,2,1,25,12,8,9,9,6,0,1,1.1604,7.0396,14.8631
17,167,167,36,-2,0,15,13,12,14,3,5,3,0,27.3797,10.4538,1.0783
7,142,142,21,38,29,13,21,12,14,6,2,4,3,1.824,3.4616,4.3388
142,143,142,21,10,13,16,26,5,7,2,2,5,3,1.3161,4.5043,9.7887
29,70,70,21,-4,1,23,12,8,9,2,4,1,5,6.89,3.83,1.4040000000000001
39,80,80,22,0,2,16,14,6,13,5,6,3,1,1.494,3.6833,6.26
86,113,113,21,5,0,8,21,12,13,7,6,0,3,1.0917,7.3229999999999995,17.8817
18,181,18,22,-1,1,15,17,18,7,5,3,3,6,1.2657,5.2618,10.8232
14,148,14,24,6,16,4,15,4,6,2,4,7,5,4.0263,3.1429,1.8838
87,124,124,34,-1,4,15,17,7,9,5,3,4,3,3.4633,3.181,1.9967
14,112,112,1,2,3,15,12,7,16,4,3,3,2,1.5065,3.8485,5.6473
39,43,39,22,6,0,16,14,17,17,8,5,1,5,1.4931,3.9652,6.5914
72,107,107,21,6,0,15,7,12,13,5,1,1,2,1.0888,8.1059,20.8171
11,91,11,22,1,0,12,16,10,6,4,6,4,4,2.6936,3.2489,2.5318
90,156,90,22,0,2,16,10,6,7,7,4,1,5,2.0622,2.9678,3.4144
4,155,155,21,0,1,12,14,5,12,4,2,4,3,4.7075,3.4743,1.68
64,149,64,21,-5,2,7,15,20,13,5,5,2,2,3.2558,3.2508,1.9992
72,146,146,22,0,4,18,9,16,12,7,4,1,6,3.4657,3.07,2.0805
97,189,97,22,-1,0,11,12,10,9,4,5,3,1,2.4196,3.1022,2.7922
