id,date,team_1,team_2,home_team,tournament,h2h_win_diff,h2h_draw,form_diff_goalF,form_diff_goalA,form_diff_win,form_diff_draw,game_diff_rank,game_diff_ovr,game_diff_attk,game_diff_mid,game_diff_def,game_diff_prestige,game_diff_age11,game_diff_ageAll,game_diff_bup_speed,game_diff_bup_pass,game_diff_cc_pass,game_diff_cc_cross,game_diff_cc_shoot,game_diff_def_press,game_diff_def_aggr,game_diff_def_teamwidth,odd_diff_win,odd_draw,result
11,6/17/2016,Spain,Turkey,Spain,UEFA Euro,3,4,5,-1,-1,1,-12,6,4,7,8,6,1.73,1.21,1,-12,-20,-4,-1,-8,-3,14,-7.5,4.15,win_3
12,6/18/2016,Belgium,Ireland,Belgium,UEFA Euro,1,5,6,3,2,-2,-31,6,4,8,2,4,-3.27,-3.69,-12,-9,-4,-17,-4,18,16,10,-3.087,3.37,win_3
13,6/18/2016,Austria,Portugal,Portugal,UEFA Euro,1,5,-3,9,0,0,2,-6,-13,-3,-3,-7,-0.37,-0.48,6,17,31,-22,18,7,16,-5,3.612,3.68,draw_0
14,6/19/2016,France,Switzerland,Switzerland,UEFA Euro,4,9,8,0,4,0,2,4,6,6,2,7,3.18,1.09,-14,-16,-10,-7,9,-15,1,0,-3.918,2.92,draw_0
15,6/20/2016,Russia,Wales,Russia,UEFA Euro,4,3,2,11,1,0,3,4,4,3,4,3,3.82,1.95,5,9,9,15,17,-1,-6,-8,-0.49,3.06,lose_3
16,6/21/2016,Czech Republic,Turkey,Czech Republic,UEFA Euro,2,1,12,2,-3,0,12,-3,-5,-5,-3,-2,-0.82,0.65,7,0,-5,11,-6,2,-6,21,-0.69,3.6,lose_2
17,6/21/2016,Germany,Northern Ireland,Northern Ireland,UEFA Euro,6,4,8,5,1,-4,-21,13,10,16,11,15,-1.18,-2.44,6,-15,-2,3,1,4,7,-9,-12.34,4.79,win_1
18,6/22/2016,Hungary,Portugal,Hungary,UEFA Euro,-7,3,-5,3,-2,3,12,-10,-12,-11,-10,-7,0.18,-0.22,-3,22,32,3,-6,0,0,-12,7.87,4.01,draw_0
19,6/22/2016,Ireland,Italy,Italy,UEFA Euro,-6,3,-4,-3,-2,2,21,-5,-3,-5,-5,-8,0.27,1.3,-7,-9,-2,-10,8,6,-4,6,1.4,3.12,win_1
20,6/22/2016,Belgium,Sweden,Sweden,UEFA Euro,3,2,0,9,3,-4,-33,6,0,9,4,3,-3.81,-1.56,-16,-9,3,-31,9,16,-3,-2,-3.031,3.35,win_1
21,6/25/2016,Poland,Switzerland,Switzerland,UEFA Euro,3,4,3,-4,1,2,12,-2,6,-1,-7,0,1.36,0.52,-7,-17,-23,-12,13,-14,11,-1,-0.12,2.89,draw_0
22,6/25/2016,Northern Ireland,Wales,Wales,UEFA Euro,-18,23,-3,-1,2,2,-1,-4,-6,-6,-4,-4,1.18,1.39,-3,11,-3,-1,22,-8,-3,-3,2.97,2.97,lose_1
23,6/26/2016,France,Ireland,France,UEFA Euro,2,5,10,2,6,-4,-16,7,6,8,6,8,-0.09,-2.08,3,-9,9,2,2,-4,6,12,-7.469,3.8,win_1
24,6/26/2016,Belgium,Hungary,Hungary,UEFA Euro,6,2,4,4,3,-3,-18,10,7,14,8,5,-2.36,-1.69,-19,-17,-26,-22,4,11,9,-1,-5.469,3.64,win_3
25,6/27/2016,Italy,Spain,Italy,UEFA Euro,-1,13,-1,4,-1,0,6,-4,-2,-6,-4,-1,-1.09,0.7,11,16,4,19,-15,-3,-3,-25,2.4,2.93,win_2
26,6/30/2016,Poland,Portugal,Poland,UEFA Euro,-1,3,-1,-1,3,-1,19,-5,-3,-4,-7,-5,-0.82,-0.87,0,4,6,-5,8,-10,9,-12,1.32,2.93,draw_0
27,7/1/2016,Belgium,Wales,Wales,UEFA Euro,1,3,2,6,4,-1,-24,7,6,8,4,5,-0.54,-0.87,-27,-8,-17,-13,6,10,3,-13,-2.969,3.39,lose_2
28,7/2/2016,Germany,Italy,Germany,UEFA Euro,-7,10,0,0,0,-1,-8,3,-1,5,0,2,-2.46,-2.57,11,-14,6,-12,21,10,13,17,-1.58,3.06,draw_0
29,7/6/2016,Portugal,Wales,Portugal,UEFA Euro,1,0,1,0,1,2,-18,7,11,5,6,7,1.64,1.04,-5,-13,-23,6,8,-1,-6,0,-1.95,3.11,win_2
30,7/7/2016,France,Germany,Germany,UEFA Euro,3,6,4,0,2,0,13,-1,4,-2,1,-2,2.64,1.79,-15,-4,1,4,-11,-8,-11,1,-0.17,3,win_2
31,7/10/2016,France,Portugal,Portugal,UEFA Euro,11,1,7,3,4,-3,9,1,-3,3,2,2,1,-0.3,-7,5,19,0,4,-11,-1,-11,-2.04,3.08,lose_1
