id,date,team_1,team_2,home_team,tournament,h_win_diff,h_draw,f_goalF_1,f_goalF_2,f_goalA_1,f_goalA_2,f_win_1,f_win_2,f_draw_1,f_draw_2,avg_odds_win_1,avg_odds_draw,avg_odds_win_2,result,goal_diff
27263,2005-06-08,Iceland,Malta,Iceland,FIFA World Cup qualification,6,1,19,23,13,19,1,1,3,1,1.1344,6.06,10.4356,win,3.0
27277,2005-06-08,Saudi Arabia,Uzbekistan,Saudi Arabia,FIFA World Cup qualification,0,1,12,15,7,13,3,6,4,2,1.345,4.0788,7.6438,win,3.0
27259,2005-06-08,Faroe Islands,Ireland,Faroe Islands,FIFA World Cup qualification,-1,0,30,11,12,4,2,6,1,4,9.99,6.8056,1.1067,lose,-2.0
27262,2005-06-08,Greece,Ukraine,Greece,FIFA World Cup qualification,0,1,12,11,8,10,6,5,3,3,1.947,3.085,3.659,lose,-1.0
27278,2005-06-08,Bosnia-Herzegovina,Spain,Spain,FIFA World Cup qualification,-2,1,13,16,8,5,2,5,5,4,10.4356,5.7544,1.1489,draw,0.0
27279,2005-06-08,Norway,Sweden,Sweden,Friendly,-34,21,8,9,10,23,6,5,4,4,4.4791,3.1582,1.7373,win,1.0
27261,2005-06-08,Germany,Russia,Germany,Friendly,8,1,12,22,20,15,6,5,2,2,1.5233,3.4642,6.015,draw,0.0
27265,2005-06-08,Italy,Serbia,Italy,Friendly,0,2,16,10,6,7,7,4,1,5,2.0622,2.9678,3.4144,draw,0.0
27273,2005-06-08,Mexico,Trinidad and Tobago,Mexico,FIFA World Cup qualification,7,1,17,18,12,11,5,4,5,1,1.1075,6.5,9.99,win,2.0
27274,2005-06-08,Panama,USA,Panama,FIFA World Cup qualification,-2,1,12,18,5,9,1,6,3,2,6.1211,3.6244,1.47,lose,-3.0
27255,2005-06-08,Costa Rica,Guatemala,Costa Rica,FIFA World Cup qualification,6,13,11,22,15,8,4,5,3,1,1.5456,3.5056,5.4944,win,1.0
27285,2005-06-11,Guinea,Tunisia,Tunisia,FIFA World Cup qualification,0,3,19,21,9,14,3,4,4,2,6.66,3.79,1.4380000000000002,lose,-2.0
27283,2005-06-11,Ecuador,Italy,Ecuador,Friendly,-1,0,21,14,7,5,7,6,1,2,4.098,3.188,1.778,draw,0.0
27300,2005-06-18,Kenya,Morocco,Kenya,FIFA World Cup qualification,-2,1,17,16,13,7,3,5,5,4,4.1238,3.275,1.7363,draw,0.0
27308,2005-06-18,Mali,Zambia,Zambia,FIFA World Cup qualification,-1,2,13,14,11,7,2,4,4,4,5.3,3.5583,1.545,lose,-1.0
27305,2005-06-18,Ghana,South Africa,South Africa,FIFA World Cup qualification,-1,2,13,11,5,10,3,7,6,1,4.6163,3.355,1.6575,win,2.0
27299,2005-06-18,Gabon,Rwanda,Gabon,FIFA World Cup qualification,-1,1,14,15,9,13,5,3,2,3,1.8214,3.2,3.82,win,3.0
27302,2005-06-18,Angola,Nigeria,Nigeria,FIFA World Cup qualification,1,4,12,13,7,10,5,6,3,2,8.665,4.235,1.2988,draw,0.0
27304,2005-06-18,Senegal,Togo,Senegal,FIFA World Cup qualification,-4,5,18,10,14,5,6,6,1,3,1.4743,3.6143,6.0571,draw,0.0
27298,2005-06-18,Burkina Faso,Congo DR,Burkina Faso,FIFA World Cup qualification,-3,1,20,11,6,12,1,2,1,4,2.5617,3.1667,2.4067,win,2.0
27314,2005-06-19,Congo,Liberia,Liberia,FIFA World Cup qualification,-1,0,14,21,7,5,2,2,1,1,2.9429,3.0857,2.1986,win,2.0
27309,2005-06-19,Algeria,Zimbabwe,Algeria,FIFA World Cup qualification,1,1,12,10,10,10,2,5,4,2,2.0063,3.1188,3.3313,draw,0.0
27373,2005-08-15,Poland,Serbia,Poland,Friendly,1,0,16,9,15,6,6,4,2,5,2.725,3.1633,2.3717,win,1.0
27392,2005-08-17,Iran,Japan,Japan,FIFA World Cup qualification,0,4,17,7,10,12,8,4,1,2,4.2586,3.2314,1.78,lose,-1.0
27394,2005-08-17,Georgia,Kazakhstan,Kazakhstan,FIFA World Cup qualification,0,0,12,24,14,11,2,0,2,1,1.805,3.245,3.9083,win,1.0
27418,2005-08-17,Kuwait,Uzbekistan,Uzbekistan,FIFA World Cup qualification,1,0,13,16,10,13,3,5,2,3,3.2243,3.2143,2.06,lose,-1.0
27396,2005-08-17,Latvia,Russia,Latvia,FIFA World Cup qualification,-2,0,21,24,14,13,2,6,3,2,3.8918,3.2245,1.8309,draw,0.0
27379,2005-08-17,Bahrain,North Korea,Bahrain,FIFA World Cup qualification,1,0,14,11,7,29,4,4,2,1,1.6,3.4317,5.1833,lose,-1.0
27386,2005-08-17,Cyprus,Faroe Islands,Faroe Islands,FIFA World Cup qualification,2,1,15,28,12,14,2,2,2,1,1.9289,3.2611,3.41,win,3.0
27398,2005-08-17,Liechtenstein,Slovakia,Liechtenstein,FIFA World Cup qualification,-5,0,18,19,15,9,1,4,1,5,9.99,6.7222,1.0933,draw,0.0
27410,2005-08-17,Andorra,Romania,Romania,FIFA World Cup qualification,-1,0,15,13,13,14,1,4,2,2,9.99,8.35,1.021,lose,-2.0
27415,2005-08-17,Kenya,Tunisia,Tunisia,FIFA World Cup qualification,0,1,16,21,12,14,2,4,5,2,8.815,4.6925,1.245,lose,-1.0
27416,2005-08-17,Serbia,Ukraine,Ukraine,Friendly,-1,0,8,11,7,10,3,7,6,2,3.3575,3.2125,1.945,lose,-1.0
27411,2005-08-17,Ghana,Senegal,Senegal,Friendly,0,3,13,16,6,14,3,5,6,2,2.7975,3.1325,2.3025,draw,0.0
27389,2005-08-17,Argentina,Hungary,Hungary,Friendly,3,1,17,19,14,7,5,3,4,2,1.5418,3.4836,5.6791,win,1.0
